Season,team1id,team2id,team1_win,team1_kag_teamname,team1name,team1_seed,team1_fg_perc,team1_3pt_perc,team1_ft_perc,team1_blk_per_foul,team1_stl_per_to,t1_magic_score,team1_pace,team1_ortg,team1_ftr,team1_3par,team1_ts_perc,team1_trb_perc,team1_ast_perc,team1_stl_perc,team1_blk_perc,team1_efg_perc,team1_tov_perc,team1_orb_perc,team1_ft_fga,team2_kag_teamname,team2name,team2_seed,team2_fg_perc,team2_3pt_perc,team2_ft_perc,team2_blk_per_foul,team2_stl_per_to,t2_magic_score,team2_pace,team2_ortg,team2_ftr,team2_3par,team2_ts_perc,team2_trb_perc,team2_ast_perc,team2_stl_perc,team2_blk_perc,team2_efg_perc,team2_tov_perc,team2_orb_perc,team2_ft_fga,t1_rs_win_perc_90p,t1_avgpts_win,t1_avg_pts_loss,t1_coach_team,t1_coach_yrs,t1_num_star_players,t1_avg_recruit_score,t1_avg_height,t1_avg_experience,t1_bench,t1_round2_odds,t1_sweet16_odds,t1_elite8_odds,t1_final_4_odds,t1_final_odds,t1_champ_odds,t1_conf,t1_composite_score,t2_rs_win_perc_90p,t2_avgpts_win,t2_avg_pts_loss,t2_coach_team,t2_coach_yrs,t2_num_star_players,t2_avg_recruit_score,t2_avg_height,t2_avg_experience,t2_bench,t2_round2_odds,t2_sweet16_odds,t2_elite8_odds,t2_final_4_odds,t2_final_odds,t2_champ_odds,t2_conf,t2_composite_score,t1_conf_champ_jeff,t2_conf_champ_jeff,t1_power5_jeff,t2_power5_jeff,team1_off_points_ft_jeff,team2_off_points_ft_jeff,team1_off_points_2pt_jeff,team2_off_points_2pt_jeff,team1_off_points_3pt_jeff,team2_off_points_3pt_jeff,team1_def_points_ft_jeff,team2_def_points_ft_jeff,team1_def_points_2pt_jeff,team2_def_points_2pt_jeff,team1_def_points_3pt_jeff,team2_def_points_3pt_jeff,team1KPSOS_jeff,team2KPSOS_jeff
2016,1112,1455,0,Arizona,Arizona,6,0.48,0.381,0.721,0.259259259,0.371040724,0.083008354,69.8,112.8,0.438,0.294,0.575,56.5,51.3,6.8,11.3,0.536,15.7,34.9,0.316,Wichita St,Wichita State,11,0.429,0.324,0.717,0.177304965,0.73699422,0.067428526,66.1,108.8,0.38,0.381,0.531,53.1,56.4,10.9,11.6,0.49,12.7,31.7,0.272,0.727272727,13.875,-5,6,11,4,98.84,78.3,2.08,36,51.5,27.7,12.3,5.1,2.6,1,Pac-12,68.5,0.75,22.22222222,-4.333333333,8,17,4,86.87,76.9,1.95,42.1,30.6,17.1,7.9,3.5,1.8,0.7,MVC,45.3,0,0,1,0,22.7422,21.5535,53.0165,48.8003,24.2413,29.6462,18.4458,26.5408,55.4227,43.6382,26.1315,29.8211,20.9712,22.5346
2016,1114,1235,0,Ark Little Rock,Little Rock,12,0.453,0.384,0.729,0.165625,0.647887324,0.090492552,64.5,109,0.315,0.354,0.553,50.1,50.9,10.1,9.6,0.52,13.6,27.9,0.229,Iowa St,Iowa State,4,0.503,0.387,0.702,0.26199262,0.547738693,0.052626829,71.5,113.1,0.261,0.351,0.59,49.7,53.1,8.6,9.8,0.571,14.1,26.1,0.183,0.833333333,13.3,-5,0,0,1,89,0,0,0,28.6,11.2,2.7,0.8,0.2,0.06,SBC,0.19,0.454545455,10.2,-6.166666667,0,4,3,87.32,77.5,2.45,19,75.2,39,15.2,6.8,3,1.3,Big-12,41.1,0,1,1,0,18.0915,13.8015,50.1727,55.4857,31.7358,30.7128,22.2936,14.6667,46.2679,54.7048,31.4385,30.6286,13.2372,20.9453
2016,1114,1345,1,Ark Little Rock,Little Rock,12,0.453,0.384,0.729,0.165625,0.647887324,0.090492552,64.5,109,0.315,0.354,0.553,50.1,50.9,10.1,9.6,0.52,13.6,27.9,0.229,Purdue,Purdue,5,0.47,0.367,0.744,0.271828666,0.350835322,0.068781393,67.8,113.7,0.354,0.358,0.571,57.3,64.1,6.1,11.7,0.536,14.9,34.9,0.263,0.833333333,13.3,-5,0,0,1,89,0,0,0,28.6,11.2,2.7,0.8,0.2,0.06,SBC,0.19,0.636363636,13.28571429,-6,10,12,3,91.37,78.6,1.77,38.4,71.4,43.1,18.4,9,4.3,2,Big-Ten,52.1,0,1,1,0,18.0915,19.7359,50.1727,50.7704,31.7358,29.4938,22.2936,18.1499,46.2679,53.0469,31.4385,28.8032,13.2372,23.8534
2016,1122,1242,0,Austin Peay,Austin Peay,16,0.461,0.346,0.67,0.159557662,0.498007968,0.09384237,70.5,106.4,0.457,0.315,0.549,51.8,50.7,9.7,7.7,0.516,16.8,33,0.306,Kansas,Kansas,1,0.495,0.418,0.713,0.219749652,0.529288703,0.049576927,69.7,115,0.382,0.33,0.592,53.9,55.3,9.4,10.7,0.564,15.5,32.3,0.272,0.727272727,7.25,-8.666666667,25,25,0,0,76.4,1.43,28.6,3.1,0.3,0.03,0.002,0,0,,0,1,13.46153846,-8,12,22,3,98.36,77.2,2,28.8,96.9,75.5,57.4,37.3,26,15.4,Big-12,63.8,1,1,1,0,23.4971,19.791,51.8664,50.9777,24.6365,29.2313,17.0888,23.0184,49.6786,49.96,33.2325,27.0216,-5.10202,29.6713
2016,1124,1463,0,Baylor,Baylor,5,0.466,0.367,0.725,0.204545455,0.622685185,0.049867693,67.6,112.8,0.375,0.286,0.555,55.6,64.6,11.6,11.2,0.518,15.5,40.1,0.272,Yale,Yale,12,0.47,0.363,0.67,0.258490566,0.427135678,0.0881536,66.9,111.5,0.413,0.309,0.555,57.8,56.9,8.4,12.6,0.526,16.4,39.4,0.276,0.416666667,12.4,-8.571428571,12,13,3,91.17,76.8,1.52,29.4,60.7,33.5,15.4,7.2,2.6,0.9,Big-12,49.9,0.9,15.77777778,-12,16,16,4,0,76.9,1.88,30.3,39.3,17.6,6.3,2.3,0.6,0.2,Ivy,0,0,0,1,0,21.3349,21.1699,54.3504,53.4819,24.3147,25.3482,20.9544,19.8818,50.1518,51.2628,28.8937,28.8555,19.0612,14.3324
2016,1138,1274,0,Buffalo,Buffalo,14,0.437,0.339,0.71,0.165775401,0.505263158,0.093186916,72.6,105.9,0.414,0.37,0.54,51.7,48.2,9.4,9.2,0.499,15.9,32.2,0.294,Miami FL,Miami (FL),3,0.479,0.375,0.749,0.21858864,0.561357702,0.08060477,66.2,113.3,0.407,0.339,0.582,51.7,48.3,9.3,9.1,0.542,14.5,29.9,0.305,0.615384615,10.875,-9.2,0,0,1,70,77.2,1.16,33.4,13.3,1.9,0.2,0.03,0,0,MAC,0,0.75,7.888888889,-15,4,29,2,90.79,77.7,2.42,28.8,86.7,44.8,20.3,8.7,4.5,1.8,ACC,37.8,0,0,1,0,22.9615,21.9521,47.8462,50.5887,29.1923,27.4592,21.3926,17.7618,49.5938,55.532,29.0135,26.7062,2.95141,22.443
2016,1139,1403,1,Butler,Butler,9,0.466,0.393,0.731,0.165634675,0.67761194,0.086300541,69.8,114.1,0.393,0.305,0.564,52.3,51,9.8,8.9,0.526,12.5,32.1,0.287,Texas Tech,Texas Tech,8,0.448,0.346,0.742,0.227504244,0.493506494,0.091521742,66.7,106.7,0.422,0.304,0.547,50.1,53.2,8.8,11.8,0.5,15.5,31.2,0.314,0.7,13.42857143,-13.66666667,1,5,2,84.4,77.3,2.37,25.8,50.5,11,4,1.2,0.4,0.1,Big-East,25.9,0.636363636,6.857142857,-11.5,2,24,4,86.26,77.6,1.44,32.7,49.5,10.6,3.8,1.2,0.3,0.1,Big-12,40.4,0,0,0,1,21.4556,23.8612,51.7058,52.0607,26.8385,24.0781,20.3498,18.9624,50.0853,48.0322,29.5648,33.0054,17.2699,13.7761
2016,1139,1438,0,Butler,Butler,9,0.466,0.393,0.731,0.165634675,0.67761194,0.086300541,69.8,114.1,0.393,0.305,0.564,52.3,51,9.8,8.9,0.526,12.5,32.1,0.287,Virginia,Virginia,1,0.491,0.402,0.752,0.19966443,0.576811594,0.072117056,61.5,115,0.321,0.284,0.58,53.2,57.2,8.7,10.2,0.548,13.2,29.8,0.241,0.7,13.42857143,-13.66666667,1,5,2,84.4,77.3,2.37,25.8,50.5,11,4,1.2,0.4,0.1,Big-East,25.9,0.75,13.88888889,-2.666666667,6,9,2,94.27,77.9,2.3,31.8,96.2,77.9,54.5,34.2,21.4,13.2,ACC,44.5,0,0,1,0,21.4556,18.0503,51.7058,56.3595,26.8385,25.5903,20.3498,19.4869,50.0853,48.7849,29.5648,31.7282,17.2699,29.6448
2016,1143,1218,0,California,California,4,0.461,0.363,0.656,0.225212465,0.331742243,0.118378312,68.2,108.5,0.417,0.337,0.55,54.5,48.3,5.9,10.9,0.522,15.3,32.6,0.274,Hawaii,Hawaii,13,0.459,0.322,0.684,0.178417266,0.58013544,0.068018672,71.6,107.3,0.449,0.379,0.555,53,58.8,10.5,10,0.52,15.8,31.1,0.307,0.75,12.55555556,-5,1,7,3,96.14,79,1.68,31.5,68.8,39.3,13.5,5.6,2.6,0.9,Pac-12,61.4,0.846153846,12.36363636,-4,0,0,1,0,77.2,1.39,33.1,31.2,12,2.4,0.6,0.2,0.04,Big-west,0,0,1,1,0,20.7859,23.1742,51.3949,49.0412,27.8193,27.7846,23.0668,24.1898,52.9489,50.1644,23.9843,25.6458,18.3186,12.1565
2016,1151,1231,0,Chattanooga,Chattanooga,12,0.457,0.359,0.735,0.276845638,0.622425629,0.04566852,68.1,110.5,0.413,0.371,0.565,52.3,56.2,11.3,13.1,0.524,15.7,32.6,0.304,Indiana,Indiana,5,0.502,0.415,0.733,0.211746522,0.504219409,0.061136295,69.1,119.2,0.338,0.409,0.612,54.9,54.8,9.9,9.8,0.587,16.7,37,0.248,0.846153846,12,-10.5,0,0,3,70,77,1.74,31.1,18.1,3.5,0.6,0.1,0.02,0.003,Southern,0,0.7,12.57142857,-9,7,16,3,92.47,77.3,2.01,36.9,81.9,40,17.3,9.1,3.7,1.6,Big-Ten,54.3,0,1,1,0,22.8212,17.4334,47.7503,46.7658,29.4285,35.8008,17.0971,17.123,52.9831,56.1504,29.9199,26.7266,6.4956,23.0493
